Time,Calls in SL,BH,Hoop,Wait T,C,Floor,IB Calls,OB Calls,IB Voicemail Calls,IB Forwarded Calls,IB Overflow Calls,IB Regular Calls,Aban In Queue,Avg. Wait Time,SL %,SL % - 18s,IB Regular Calls Completed,IB Handled,IB AHT,OB Handled,OB AHT
1/2/2021 8:30,0,Business Hours,17,0,75,17,3,0,1,0,0,2,0,0,,,2,0,,0,
1/2/2021 8:30,0,Business Hours,17,0,76,17,3,0,0,0,3,0,0,,,,0,0,,0,
1/2/2021 9:00,1,Business Hours,18,12,77,18,1,0,0,0,0,1,0,12,1,1,1,1,237,0,
1/2/2021 9:00,8,Business Hours,18,183,78,18,9,8,0,0,0,9,0,20.33,0.89,0.89,9,9,396,8,126
1/2/2021 9:30,3,Business Hours,19,23,79,19,3,8,0,0,0,3,0,11.5,1,1,2,2,296,8,151
1/2/2021 10:00,5,Business Hours,20,51,80,20,5,7,0,0,0,5,0,10.2,1,1,5,5,146,6,72.33
1/2/2021 10:30,5,Business Hours,21,203,81,21,7,0,0,1,0,6,0,33.83,0.83,0.83,6,6,215,0,
1/2/2021 10:30,0,Business Hours,21,45,82,21,1,0,0,0,0,1,0,45,0,0,1,1,304,0,
1/2/2021 11:00,4,Business Hours,22,582,83,22,11,0,0,1,0,10,0,64.67,0.44,0.44,9,9,461,0,
1/2/2021 11:00,3,Business Hours,22,8,84,22,3,0,0,0,0,3,0,8,1,1,1,1,209,0,
1/2/2021 11:30,4,Business Hours,23,34,85,23,6,0,0,2,0,4,0,11.33,1,1,3,3,222,0,
1/2/2021 12:00,7,Business Hours,24,90,86,24,7,0,0,0,0,7,1,15,1,0.71,6,6,230,0,
1/2/2021 12:00,1,Business Hours,24,13,87,24,1,0,0,0,0,1,0,13,1,1,1,1,188,0,
1/2/2021 12:30,9,Business Hours,25,120,88,25,9,1,0,0,0,9,0,13.33,1,0.78,9,9,259,1,86
1/2/2021 13:00,7,Business Hours,26,313,89,26,9,1,0,1,0,8,1,44.75,0.88,0.63,7,7,338,1,832
1/2/2021 13:30,5,Business Hours,27,214,90,27,10,0,0,1,0,9,1,35.71,0.57,0.43,6,6,279,0,
1/2/2021 14:00,7,Business Hours,28,646,91,28,12,0,0,1,0,11,0,64.6,0.6,0.6,10,10,253,0,
1/2/2021 14:00,1,Business Hours,28,16,92,28,1,0,0,0,0,1,0,16,1,1,1,1,142,0,
1/2/2021 14:30,9,Business Hours,29,41,93,29,9,0,0,0,0,9,0,13.67,1,1,3,3,239,0,
1/2/2021 14:30,2,Business Hours,29,22,94,29,2,0,0,0,0,2,0,11,1,1,2,2,372,0,
1/2/2021 15:00,5,Business Hours,30,56,95,30,5,0,0,0,0,5,0,11.2,1,1,5,5,204,0,
1/2/2021 15:30,7,Business Hours,31,65,96,31,7,0,0,0,0,7,0,10.83,1,1,6,6,297,0,
1/2/2021 16:00,6,Business Hours,32,36,97,32,7,0,0,1,0,6,0,12,1,0.67,3,3,244,0,
1/2/2021 16:30,4,Business Hours,33,45,98,33,4,0,0,0,0,4,0,11.25,1,1,4,4,235,0,
1/2/2021 16:30,1,Business Hours,33,9,99,33,1,0,0,0,0,1,0,9,1,1,1,1,297,0,
1/2/2021 17:00,4,Business Hours,34,56,100,34,4,0,0,0,0,4,0,14,1,1,4,4,288,0,
1/2/2021 17:00,0,Business Hours,34,0,101,34,2,0,0,0,0,2,0,,,,0,0,,0,
1/2/2021 17:30,5,Business Hours,35,65,102,35,5,1,0,0,0,5,0,13,1,1,5,5,366,1,70
1/2/2021 18:00,0,Business Hours,36,0,103,36,4,1,0,0,4,0,0,,,,0,0,,1,62
1/2/2021 18:00,0,Business Hours,36,0,104,36,6,0,2,0,1,3,0,0,,,3,0,,0,
